City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
234,fairbanks,64.8378,-147.7164,12.81,83,100,5.75,US,1675303498
235,bambous virieux,-20.3428,57.7575,77.25,88,75,3.44,MU,1675303559
236,faranah,10.0404,-10.7434,74.14,19,0,3.18,GN,1675303560
237,lixourion,38.2019,20.4314,50.45,62,5,8.34,GR,1675303560
238,hambantota,6.1241,81.1185,75.54,100,40,4.61,LK,1675303560
239,tres lagoas,-20.7511,-51.6783,74.98,80,93,2.71,BR,1675303414
240,north battleford,52.7834,-108.2847,-7.51,64,75,12.66,CA,1675303561
241,kalmunai,7.4167,81.8167,77.07,89,90,7.43,LK,1675303561
242,romans-sur-isere,45.0464,5.0562,42.85,76,54,10.67,FR,1675303561
243,vila do maio,15.1333,-23.2167,68.79,75,68,19.95,CV,1675303562
244,zyryanka,65.75,150.85,-24.38,97,93,5.19,RU,1675303312
245,severo-kurilsk,50.6789,156.125,23.74,62,44,5.97,RU,1675303563
246,mount isa,-20.7333,139.5,73.17,94,100,5.75,AU,1675303563
247,khatanga,71.9667,102.5,-22.47,95,100,6.29,RU,1675303564
248,manga,11.6636,-1.0731,76.59,10,98,8.43,BF,1675303564
249,mahajanga,-15.7167,46.3167,71.62,100,75,11.5,MG,1675303564
250,rongcheng,30.634,117.8517,41.52,61,72,10.65,CN,1675303457
251,ilesha,7.1371,5.2583,72.5,99,27,2.48,NG,1675303566
252,sydney,-33.8679,151.2073,90.34,67,40,17.27,AU,1675303513
253,nizhniy odes,63.6445,54.856,17.49,97,71,6.58,RU,1675303566
254,oranjestad,12.524,-70.027,77.92,85,75,12.66,AW,1675303457
255,shelburne,44.0787,-80.2041,16.59,91,95,13.56,CA,1675303567
256,assiniboia,49.6334,-105.9845,6.62,78,100,21.85,CA,1675303286
257,beni mazar,28.4962,30.8029,48.52,64,1,6.2,EG,1675303568
258,impfondo,1.6381,18.0667,71.01,79,57,3.11,CG,1675303568
259,cabo san lucas,22.8909,-109.9124,67.6,73,0,4.61,MX,1675303404
260,maniitsoq,65.4167,-52.9,3.72,79,30,9.31,GL,1675303569
261,rocha,-34.4833,-54.3333,67.95,81,100,6.04,UY,1675303569
262,logansport,40.7545,-86.3567,25.52,65,0,6.91,US,1675303443
263,madimba,-10.4,40.3333,75.52,90,69,3.96,TZ,1675303570
264,leh,34.1667,77.5833,7.88,67,95,0.89,IN,1675303570
265,carndonagh,55.25,-7.2667,49.21,89,100,17.52,IE,1675303571
266,powell river,49.8496,-124.5361,41.27,93,100,12.66,CA,1675303571
267,auki,-8.7676,160.7034,85.1,70,93,7.4,SB,1675303572
268,martapura,-3.4167,114.85,74.68,97,100,2.04,ID,1675303572
269,chapais,49.7834,-74.8492,1.18,94,100,6.49,CA,1675303411
270,tutoia,-2.7619,-42.2744,79.36,85,100,10.58,BR,1675303573
271,trat,12.5,102.5,82.87,50,100,1.57,TH,1675303506
272,rabo de peixe,37.8,-25.5833,51.31,76,20,6.91,PT,1675303573
273,hearst,49.6835,-83.6665,-7.35,96,80,5.79,CA,1675303574
274,lasalgaon,20.15,74.2333,62.49,44,63,5.95,IN,1675303575
275,mareeba,-17.0,145.4333,89.47,69,97,6.29,AU,1675303575
276,piacabucu,-10.4056,-36.4344,76.86,85,31,6.38,BR,1675303316
277,esna,25.2934,32.554,51.82,51,2,7.54,EG,1675303576
278,buala,-8.145,159.5921,83.82,75,100,5.91,SB,1675303576
279,meadow lake,34.8014,-106.5436,40.78,34,0,9.69,US,1675303577
280,salon,26.0333,81.45,48.81,66,5,7.29,IN,1675303577
281,sovetskiy,61.3614,63.5842,3.99,100,73,3.65,RU,1675303578
282,san luis,-33.295,-66.3356,65.14,90,40,14.5,AR,1675303578
283,willowmore,-33.2926,23.4895,59.85,75,4,4.32,ZA,1675303578
284,bud,39.447,-86.1758,26.82,64,68,2.37,US,1675303522
285,vila velha,-20.3297,-40.2925,76.95,89,40,8.05,BR,1675303413
286,atar,20.5169,-13.0499,68.2,11,100,4.88,MR,1675303579
287,presidente franco,-25.5333,-54.6167,79.56,78,0,3.44,PY,1675303580
288,katobu,-4.9408,122.5276,84.65,70,99,4.72,ID,1675303580
289,nantucket,41.2835,-70.0995,29.14,78,0,0.0,US,1675303581
290,sakakah,29.9697,40.2064,45.97,46,2,13.09,SA,1675303581
291,dukat,62.55,155.55,-7.2,96,77,1.83,RU,1675303581
292,kruisfontein,-34.0033,24.7314,58.89,76,31,6.11,ZA,1675303582
293,lipany,49.1538,20.9638,35.06,95,92,5.37,SK,1675303583
294,petropavlovsk-kamchatskiy,53.0452,158.6483,9.19,61,0,6.71,RU,1675303583
295,gorontalo,0.5412,123.0595,82.69,71,88,5.75,ID,1675303555
296,bathsheba,13.2167,-59.5167,75.81,73,20,8.05,BB,1675303491
297,mahon,39.8885,4.2658,45.16,93,20,4.61,ES,1675303584
298,muli,2.9167,73.5667,80.69,63,98,12.39,MV,1675303584
299,avera,33.194,-82.5271,59.56,85,100,7.27,US,1675303584
300,conop,46.1,21.8833,38.41,99,100,7.99,RO,1675303585
301,marsaxlokk,35.8419,14.5431,52.41,82,0,5.75,MT,1675303585
302,genhe,50.7833,121.5167,-9.78,91,58,2.95,CN,1675303586
303,mahebourg,-20.4081,57.7,77.29,88,75,3.44,MU,1675303586
304,nuuk,64.1835,-51.7216,9.88,66,3,5.99,GL,1675303586
305,hobbs,32.7026,-103.136,32.05,64,100,1.01,US,1675303537
306,jiexiu,37.0244,111.9125,33.67,31,100,2.33,CN,1675303587
307,corrente,-3.7367,-43.3394,71.64,99,100,2.62,BR,1675303587
308,terrace bay,48.7834,-87.1,1.44,90,45,10.98,CA,1675303588
309,mahibadhoo,3.7833,72.9667,79.16,70,100,11.72,MV,1675303588
310,beauceville,46.2179,-70.7787,9.5,85,100,1.14,CA,1675303588
311,sambava,-14.2667,50.1667,76.41,88,100,9.64,MG,1675303589
312,ocos,14.5094,-92.1933,73.58,66,6,5.75,GT,1675303589
313,ruteng,-8.6136,120.4721,71.17,80,100,1.63,ID,1675303589
314,kyshtovka,56.555,76.6271,-7.85,99,22,4.65,RU,1675303590
315,gondar,12.6,37.4667,57.52,30,100,5.12,ET,1675303590
316,nouadhibou,20.931,-17.0347,60.78,67,100,17.27,MR,1675303590
317,bentiu,9.2333,29.8333,76.87,21,5,7.9,SS,1675303591
